time,Index,Throttle_PWM,Steering_PWM
12:04:38:191310,551,121,170
12:04:38:433111,552,121,170
12:04:38:661267,553,121,169
12:04:38:933231,554,116,170
12:04:39:216700,555,120,168
12:04:39:491793,556,121,120
12:04:39:775821,557,111,90
12:04:40:014007,558,121,84
12:04:40:235350,559,112,83
12:04:40:497291,560,98,108
12:04:40:754628,561,113,175
12:04:40:986176,562,118,168
12:04:41:209688,563,120,155
12:04:41:434891,564,120,156
12:04:41:665298,565,119,144
12:04:41:890248,566,109,179
12:04:42:137871,567,115,181
12:04:42:399450,568,119,161
12:04:42:630391,569,120,158
12:04:42:870253,570,119,124
12:04:43:111830,571,119,72
12:04:43:357614,572,119,67
12:04:43:603352,573,105,76
12:04:43:871855,574,101,118
12:04:44:117838,575,114,170
12:04:44:349288,576,118,180
12:04:44:621931,577,120,163
12:04:44:858892,578,121,170
12:04:45:093882,579,116,178
12:04:45:318357,580,119,170
12:04:45:550427,581,121,154
12:04:45:797255,582,123,138
12:04:46:041632,583,124,133
12:04:46:330902,584,114,84
12:04:46:585698,585,119,80
12:04:46:839799,586,99,95
12:04:47:086747,587,104,138
12:04:47:314098,588,119,154
12:04:47:543086,589,122,153
12:04:47:776079,590,115,163
12:04:48:029810,591,120,156
12:04:48:273663,592,119,156
12:04:48:531360,593,114,169
12:04:48:756550,594,111,181
12:04:48:988837,595,119,179
12:04:49:199471,596,119,157
12:04:49:430187,597,119,79
12:04:49:671758,598,110,76
12:04:49:914767,599,120,65
12:04:50:164981,600,109,82
12:04:50:405407,601,116,126
12:04:50:667929,602,117,165
12:04:50:908387,603,120,167
12:04:51:174500,604,117,172
12:04:51:437611,605,121,171
12:04:51:712162,606,118,169
12:04:52:010145,607,120,167
12:04:52:275563,608,121,132
12:04:52:528660,609,121,93
12:04:52:769084,610,121,86
12:04:53:046315,611,114,95
12:04:53:285010,612,101,123
12:04:53:517125,613,118,152
12:04:53:745979,614,120,152
12:04:53:989009,615,118,156
12:04:54:223784,616,110,163
12:04:54:443412,617,116,162
12:04:54:658162,618,118,163
12:04:54:879373,619,110,163
12:04:55:135103,620,119,163
12:04:55:381792,621,119,163
12:04:55:616550,622,119,168
12:04:55:850602,623,114,46
12:04:56:138117,624,120,72
12:04:56:414411,625,123,70
12:04:56:651380,626,100,122
12:04:56:916118,627,109,179
12:04:57:204050,628,119,180
12:04:57:447423,629,121,172
12:04:57:687772,630,121,172
12:04:57:942860,631,121,171
12:04:58:237623,632,121,172
12:04:58:536360,633,122,125
12:04:58:816053,634,101,95
12:04:59:106307,635,115,84
12:04:59:358402,636,112,84
12:04:59:603875,637,116,121
12:04:59:874590,638,117,153
12:05:00:102795,639,118,156
12:05:00:351676,640,118,156
12:05:00:590043,641,116,164
12:05:00:823735,642,117,164
12:05:01:065799,643,118,165
12:05:01:311719,644,117,168
12:05:01:612960,645,117,164
12:05:01:870639,646,118,152
12:05:02:116482,647,118,81
12:05:02:358486,648,118,65
12:05:02:598481,649,118,88
12:05:02:860122,650,119,115
12:05:03:103345,651,118,126
12:05:03:360455,652,103,182
12:05:03:598200,653,116,182
12:05:03:855449,654,121,181
12:05:04:103448,655,112,174
12:05:04:366419,656,119,168
12:05:04:605955,657,121,170
12:05:04:871993,658,122,141
12:05:05:128033,659,123,95
12:05:05:367995,660,119,106
12:05:05:601063,661,117,98
12:05:05:859582,662,96,128
12:05:06:113810,663,113,154
12:05:06:331755,664,116,159
12:05:06:556268,665,116,162
12:05:06:795023,666,116,163
12:05:07:064709,667,117,160
12:05:07:314549,668,117,166
12:05:07:577107,669,111,182
12:05:07:834858,670,117,182
12:05:08:082767,671,117,154
12:05:08:325286,672,116,71
12:05:08:593519,673,118,65
12:05:08:838261,674,119,64
12:05:09:094978,675,119,95
12:05:09:346432,676,114,144
12:05:09:596180,677,114,157
12:05:09:852747,678,114,180
12:05:10:136623,679,119,173
12:05:10:376203,680,120,156
12:05:10:655613,681,120,156
12:05:10:901098,682,119,168
12:05:11:168310,683,119,138
12:05:11:458060,684,120,100
12:05:11:746393,685,119,91
12:05:12:004483,686,91,84
12:05:12:267124,687,108,144
12:05:12:520862,688,119,144
12:05:12:742199,689,121,144
12:05:12:979523,690,111,180
12:05:13:224832,691,119,170
12:05:13:502540,692,122,147
12:05:13:766768,693,113,178
12:05:14:059039,694,121,179
12:05:14:327414,695,121,135
12:05:14:575817,696,115,71
12:05:14:841640,697,119,61
12:05:15:095600,698,119,79
12:05:15:362964,699,107,152
12:05:15:596996,700,119,157
12:05:15:856617,701,119,176
12:05:16:086609,702,116,177
12:05:16:338472,703,122,167
12:05:16:594917,704,120,165
12:05:16:829662,705,119,167
12:05:17:065988,706,122,145
12:05:17:310043,707,122,107
12:05:17:543853,708,122,86
12:05:17:784088,709,95,84
12:05:18:022650,710,91,84
12:05:18:302435,711,110,147
12:05:18:535936,712,115,180
12:05:18:753460,713,120,172
12:05:19:004139,714,122,173
12:05:19:244477,715,121,153
12:05:19:524805,716,121,161
12:05:19:792071,717,107,172
12:05:20:074255,718,116,174
12:05:20:311278,719,117,172
12:05:20:534736,720,119,83
12:05:20:799962,721,119,70
12:05:21:062926,722,119,77
12:05:21:329633,723,119,105
12:05:21:595482,724,112,152
12:05:21:864335,725,119,173
12:05:22:148612,726,119,175
12:05:22:415553,727,121,164
12:05:22:660664,728,117,166
12:05:22:938806,729,120,165
12:05:23:207985,730,121,135
12:05:23:446638,731,121,86
12:05:23:686221,732,116,86
12:05:23:958091,733,90,93
12:05:24:231929,734,109,134
12:05:24:464527,735,118,145
12:05:24:709128,736,121,151
12:05:24:957024,737,116,165
12:05:25:207286,738,117,166
12:05:25:443388,739,119,164
12:05:25:725776,740,118,169
12:05:25:970597,741,100,177
12:05:26:276502,742,115,171
12:05:26:524601,743,120,83
12:05:26:763064,744,120,67
12:05:27:021841,745,120,65
12:05:27:255552,746,116,79
12:05:27:505171,747,116,116
12:05:27:772793,748,118,155
12:05:28:011335,749,116,177
12:05:28:260180,750,119,172
12:05:28:506364,751,121,155
12:05:28:765654,752,116,158
12:05:29:014625,753,120,170
12:05:29:275052,754,120,159
12:05:29:527166,755,121,107
12:05:29:797319,756,121,98
12:05:30:037800,757,112,84
12:05:30:279417,758,92,104
12:05:30:523770,759,116,136
12:05:30:764503,760,119,156
12:05:31:011688,761,120,158
12:05:31:233169,762,121,159
12:05:31:504643,763,120,157
12:05:31:745041,764,120,159
12:05:31:999644,765,111,180
12:05:32:249547,766,116,180
12:05:32:464476,767,121,162
12:05:32:705909,768,119,56
12:05:32:986671,769,119,63
12:05:33:265159,770,118,77
12:05:33:553160,771,107,167
12:05:33:798773,772,119,175
12:05:34:068026,773,121,172
12:05:34:346873,774,121,156
12:05:34:608581,775,114,168
12:05:34:862509,776,119,172
12:05:35:101711,777,121,168
12:05:35:370046,778,123,123
12:05:35:624246,779,124,91
12:05:35:873982,780,121,77
12:05:36:138242,781,90,84
12:05:36:389684,782,106,158
12:05:36:644318,783,119,160
12:05:36:895592,784,118,172
12:05:37:131440,785,116,175
12:05:37:392487,786,121,166
12:05:37:664790,787,109,167
12:05:37:939821,788,114,170
12:05:38:225980,789,118,169
12:05:38:480368,790,118,100
12:05:38:704100,791,118,77
12:05:38:946113,792,119,75
12:05:39:190492,793,119,76
12:05:39:453222,794,116,119
12:05:39:690878,795,102,181
12:05:39:963024,796,119,179
12:05:40:209383,797,121,146
12:05:40:494572,798,122,163
12:05:40:743458,799,119,174
12:05:41:008705,800,121,173
12:05:41:278786,801,124,134
12:05:41:518460,802,124,123
12:05:41:791383,803,117,78
12:05:42:029373,804,110,76
12:05:42:278023,805,92,117
12:05:42:527007,806,116,151
12:05:42:756452,807,119,163
12:05:42:969083,808,115,173
12:05:43:228965,809,119,170
12:05:43:495851,810,121,161
12:05:43:779834,811,111,170
12:05:44:047070,812,110,172
12:05:44:299476,813,119,163
12:05:44:510716,814,121,124
12:05:44:747354,815,116,72
12:05:45:008888,816,116,63
12:05:45:248569,817,121,63
12:05:45:514413,818,113,123
12:05:45:769654,819,114,153
12:05:46:060516,820,116,154
12:05:46:323310,821,120,173
12:05:46:596120,822,121,169
12:05:46:844536,823,118,169
12:05:47:107286,824,121,170
12:05:47:330445,825,124,158
12:05:47:591562,826,123,105
12:05:47:847700,827,124,84
12:05:48:118396,828,90,73
12:05:48:413190,829,100,102
12:05:48:677404,830,116,172
12:05:48:904203,831,119,175
12:05:49:129606,832,122,165
12:05:49:390723,833,122,163
12:05:49:665077,834,122,157
12:05:49:924794,835,105,167
12:05:50:180526,836,114,178
12:05:50:463660,837,121,163
12:05:50:694657,838,120,107
12:05:50:925847,839,120,71
12:05:51:176622,840,119,67
12:05:51:443980,841,101,86
12:05:51:715463,842,117,132
12:05:51:960369,843,117,153
12:05:52:205125,844,109,180
12:05:52:453089,845,119,161
12:05:52:703509,846,120,155
12:05:52:977601,847,108,170
12:05:53:249839,848,119,170
12:05:53:530339,849,121,142
12:05:53:798180,850,121,140
12:05:54:035424,851,121,84
12:05:54:273729,852,96,94
12:05:54:557264,853,116,92
12:05:54:801256,854,116,109
12:05:55:051297,855,111,143
12:05:55:304924,856,119,150
12:05:55:517538,857,118,154
12:05:55:792092,858,116,166
12:05:56:050271,859,117,166
12:05:56:326396,860,119,165
12:05:56:624069,861,119,166
12:05:56:882524,862,119,166
12:05:57:126498,863,119,84
12:05:57:356471,864,118,67
12:05:57:618244,865,103,71
12:05:57:885707,866,116,104
12:05:58:131162,867,116,137
12:05:58:387826,868,112,168
12:05:58:652944,869,119,172
12:05:58:918173,870,119,172
12:05:59:195802,871,119,172
12:05:59:486722,872,119,171
12:05:59:775630,873,121,164
12:06:00:053578,874,121,119
12:06:00:321662,875,121,105
12:06:00:575656,876,113,86
12:06:00:805509,877,116,80
12:06:01:063830,878,91,119
12:06:01:297850,879,111,171
12:06:01:514073,880,119,173
12:06:01:752882,881,119,174
12:06:02:019552,882,120,153
12:06:02:261227,883,121,166
12:06:02:506825,884,119,177
12:06:02:794459,885,119,177
12:06:03:038010,886,119,175
12:06:03:281348,887,119,84
12:06:03:565437,888,111,58
12:06:03:832418,889,84,86
12:06:04:138050,890,3,86
12:06:04:424892,891,8,86
12:06:04:682315,892,84,86
12:06:04:956201,893,85,85
