time,Index,Throttle_PWM,Steering_PWM
12:01:13:071070,257,116,168
12:01:13:291394,258,119,175
12:01:13:498250,259,119,159
12:01:13:723157,260,112,62
12:01:13:945777,261,120,70
12:01:14:153280,262,123,83
12:01:14:384704,263,103,108
12:01:14:610661,264,95,173
12:01:14:837939,265,115,175
12:01:15:041799,266,121,165
12:01:15:253593,267,122,161
12:01:15:457621,268,109,180
12:01:15:664644,269,121,174
12:01:15:877424,270,123,163
12:01:16:084498,271,124,158
12:01:16:282352,272,124,151
12:01:16:485160,273,125,116
12:01:16:702672,274,117,84
12:01:16:908106,275,122,84
12:01:17:112839,276,90,84
12:01:17:319665,277,99,114
12:01:17:539651,278,115,169
12:01:17:744656,279,121,165
12:01:17:957237,280,120,166
12:01:18:185369,281,119,165
12:01:18:420834,282,122,161
12:01:18:645926,283,103,171
12:01:18:852490,284,114,177
12:01:19:066007,285,115,179
12:01:19:283359,286,116,179
12:01:19:505747,287,119,89
12:01:19:724161,288,118,58
12:01:19:954094,289,119,65
12:01:20:198710,290,120,82
12:01:20:421461,291,96,118
12:01:20:636952,292,111,155
12:01:20:842975,293,119,162
12:01:21:062963,294,121,170
12:01:21:273521,295,121,171
12:01:21:493060,296,118,174
12:01:21:711934,297,121,174
12:01:21:913945,298,114,174
12:01:22:152308,299,119,170
12:01:22:379485,300,126,112
12:01:22:588237,301,126,84
12:01:22:780019,302,126,78
12:01:22:987664,303,91,77
12:01:23:199461,304,90,132
12:01:23:404990,305,104,181
12:01:23:595811,306,111,182
12:01:23:788633,307,118,181
12:01:23:976724,308,118,180
12:01:24:169730,309,122,165
12:01:24:364773,310,124,146
12:01:24:549238,311,124,144
12:01:24:752881,312,111,179
12:01:24:957445,313,119,178
12:01:25:157494,314,119,179
12:01:25:342307,315,118,114
12:01:25:540229,316,116,79
12:01:25:756071,317,119,67
12:01:25:954032,318,119,79
12:01:26:138051,319,119,87
12:01:26:332952,320,100,107
12:01:26:541641,321,111,168
12:01:26:747713,322,118,165
12:01:26:936529,323,121,162
12:01:27:155125,324,117,163
12:01:27:352659,325,118,164
12:01:27:547596,326,119,165
12:01:27:730198,327,118,165
12:01:27:927414,328,119,165
12:01:28:138735,329,119,165
12:01:28:353600,330,120,125
12:01:28:574636,331,121,84
12:01:28:806326,332,121,84
12:01:29:041029,333,103,105
12:01:29:282386,334,106,169
12:01:29:515051,335,118,174
12:01:29:743735,336,124,153
12:01:29:956610,337,126,156
12:01:30:164559,338,109,160
12:01:30:400269,339,116,172
12:01:30:631627,340,113,178
12:01:30:847517,341,121,177
12:01:31:080164,342,119,143
12:01:31:332915,343,119,53
12:01:31:554375,344,121,53
12:01:31:773402,345,120,82
12:01:32:010207,346,104,153
12:01:32:246419,347,119,168
12:01:32:463568,348,123,171
12:01:32:687062,349,110,172
12:01:32:920054,350,119,173
12:01:33:143883,351,119,173
12:01:33:362973,352,121,172
12:01:33:606235,353,122,160
12:01:33:857471,354,125,122
12:01:34:089637,355,126,84
12:01:34:328266,356,109,81
12:01:34:554599,357,90,79
12:01:34:767892,358,92,151
12:01:34:990797,359,111,179
12:01:35:209049,360,121,179
12:01:35:419769,361,122,177
12:01:35:623374,362,124,151
12:01:35:858168,363,124,146
12:01:36:070525,364,107,180
12:01:36:285236,365,114,180
12:01:36:493320,366,119,179
12:01:36:705225,367,119,169
12:01:36:930632,368,119,58
12:01:37:150260,369,120,57
12:01:37:380929,370,120,81
12:01:37:618103,371,112,116
12:01:37:829567,372,117,143
12:01:38:048252,373,121,172
12:01:38:297002,374,108,179
12:01:38:540554,375,119,179
12:01:38:771107,376,122,177
12:01:38:994209,377,121,170
12:01:39:236362,378,123,140
12:01:39:464402,379,123,135
12:01:39:684034,380,123,84
12:01:39:902935,381,117,81
12:01:40:139376,382,103,82
12:01:40:373424,383,95,98
12:01:40:611254,384,116,179
12:01:40:827664,385,117,177
12:01:41:040945,386,122,161
12:01:41:264011,387,124,163
12:01:41:499160,388,123,158
12:01:41:741275,389,123,159
12:01:41:958410,390,106,165
12:01:42:171508,391,119,172
12:01:42:411498,392,121,154
12:01:42:657129,393,121,58
12:01:42:901653,394,120,58
12:01:43:165190,395,107,120
12:01:43:394184,396,104,154
12:01:43:621124,397,119,156
12:01:43:870775,398,118,171
12:01:44:097907,399,118,172
12:01:44:342999,400,119,172
12:01:44:597278,401,119,170
12:01:44:848027,402,119,165
12:01:45:102496,403,121,140
12:01:45:329861,404,121,100
12:01:45:544873,405,121,88
12:01:45:791712,406,99,84
12:01:46:007408,407,104,112
12:01:46:212009,408,115,145
12:01:46:426180,409,124,146
12:01:46:662669,410,125,145
12:01:46:905670,411,116,154
12:01:47:133646,412,121,160
12:01:47:370822,413,109,182
12:01:47:598829,414,110,182
12:01:47:852245,415,115,181
12:01:48:083651,416,116,179
12:01:48:292673,417,121,145
12:01:48:513733,418,124,67
12:01:48:745498,419,122,56
12:01:48:984372,420,122,57
12:01:49:204396,421,101,107
12:01:49:436759,422,116,178
12:01:49:663246,423,114,181
12:01:49:889188,424,116,181
12:01:50:125386,425,123,180
12:01:50:363267,426,123,160
12:01:50:610206,427,123,165
12:01:50:863850,428,104,179
12:01:51:108722,429,124,102
12:01:51:340720,430,126,114
12:01:51:579429,431,124,95
12:01:51:814560,432,106,84
12:01:52:053753,433,90,141
12:01:52:302560,434,114,165
12:01:52:546071,435,124,163
12:01:52:805973,436,125,161
12:01:53:048468,437,126,161
12:01:53:298208,438,118,170
12:01:53:532936,439,95,182
12:01:53:749005,440,112,180
12:01:53:964171,441,122,70
12:01:54:202274,442,121,58
12:01:54:436286,443,105,87
12:01:54:662410,444,71,88
12:01:54:917113,445,1,126
12:01:55:157978,446,2,134
12:01:55:386613,447,7,87
12:01:55:604770,448,84,87
12:01:55:823302,449,83,87
12:01:56:047856,450,85,87
12:01:56:265022,451,84,86
12:01:56:506712,452,84,86
12:01:56:761876,453,85,87
